번호,자전거보관소명,소재지도로명주소,소재지지번주소,위도,경도,보관대수,설치연도,설치형태,차양막설치여부,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
41,하양읍 금락리400(금락에브리데이승강장 옆),경상북도 경산시 하양읍 대학로95길 2,,35.9104269,128.8231918,5,2015,기타,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
42,하양읍 금락리 237-3(대가대 승강장  옆),경상북도 경산시 하양로 13-13,,35.906798,128.8107017,10,2015,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
43,진량읍사무소 내,경상북도 경산시 진량읍 다문로 50,,35.8739904,128.8162125,10,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
44,부호리 208번지 육교 밑,경상북도 경산시 하양읍 화성로 372-5,,35.8997013,128.8015381,11,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
45,진량읍사무소 앞 버스승강장,경상북도 경산시 진량읍 다문로 50,,35.8746166,128.8169509,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
46,선화리 712-8(버스승강장 옆),경상북도 경산시 진량읍 대학로 952,,35.8753771,128.8008211,5,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
47,상림리 281(마을회관 내),경상북도 경산시 진량읍 상림길 36,,35.9023035,128.8331896,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
48,평사리 894-6(마을회관 내),경상북도 경산시 진량읍 평사1길 24,,35.8869134,128.8600653,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
49,현내리 543(마을회관 내),,경상북도 경산시 진량읍 현내리 541-1,35.8501774,128.8573803,5,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
50,내리리 5번지(대구대 종점 앞),경상북도 경산시 진량읍 금호강변로 990,,35.8970173,128.8514543,20,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
51,계당초교입구 버스승강장,경상북도 경산시 와촌면 계당길 27,,35.9280608,128.8516567,14,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
52,와촌면사무소 내,경상북도 경산시 와촌면 금송로 416 와촌보건지소,,35.9462951,128.8365091,10,2010,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
53,동강리116 도로변버스승강장 옆,경상북도 경산시 와촌면 금송로 485,,35.9523717,128.835353,10,2012,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
54,계당리 685-1,경상북도 경산시 와촌면 계당길 5,,35.926114,128.8520013,10,2012,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
55,자인면사무소 내,경상북도 경산시 자인면 일연로 82,,35.820858,128.822601,7,2004,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
56,계남1리 마을입구,경상북도 경산시 자인면 계남길17길 38,,35.8151917,128.809901,6,2004,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
57,자인면 공설시장,경상북도 경산시 자인면 자인시장1길 11,,35.816951,128.823361,10,2010,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
58,부적리 압량면사무소 버스정류장 옆,경상북도 경산시 압량면 부적길 35,,35.8431735,128.760183,10,2013,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
59,압독체육공원 내,경상북도 경산시 압량면 오목내길,,35.852318,128.763995,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
60,부적리584-1 도로변 승강장 옆,경상북도 경산시 압량면 화랑로 302,,35.8408239,128.7622969,10,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
61,당리리30-5(버스정류장),경상북도 경산시 압량면 원효로 590,,35.8124461,128.7985923,10,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
62,금구리 사이판 온천 입구사거리(금구리 367-7),경상북도 경산시 압량면 금구길 3,,35.8537019,128.7671435,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
63,용암리 영남종합정비 앞(용암리222-1),경상북도 경산시 압량면 용암리 222,,35.852803,128.7671602,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
64,부적리 부적주공 버스정류장 옆(부적리781),경상북도 경산시 압량면 부적길 77,,35.8459239,128.7616964,20,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
65,부적리 압량공설시장 내(부적리461-1),경상북도 경산시 압량면 부적길 1,,35.8439703,128.7604827,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
66,부적리 485-2(75번 종점 앞),경상북도 경산시 압량면 부적길 345,,35.8399408,128.7580715,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
67,인안리(윤성3차 아파트입구 버스승강장 앞),경상북도 경산시 압량면 연지길 152,,35.8655297,128.7894054,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
68,남천면사무소 내,경상북도 경산시 남천면 남천로 465 남천보건지소,,35.766667,128.726851,8,2008,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
69,협석리 버스승강장445-2,경상북도 경산시 남천면 협석길 798,,35.7888993,128.731797,5,2008,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
70,삼성2리 버스승강장34-3,경상북도 경산시 남천면 삼성역길 63,,35.762008,128.724425,5,2008,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
71,금곡삼거리 버스승강장32-3,경상북도 경산시 남천면 남천로 305,,35.7605695,128.7401788,5,2008,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
72,흥산1리 버스승강장,경상북도 경산시 남천면 흥산길 13-4,,35.752242,128.737338,5,2008,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
73,원리 버스승강장6-4,경상북도 경산시 남천면 남천로 1,,35.7393017,128.736134,5,2008,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
74,남천면 대명2리 입구,경상북도 경산시 남천면 대명길 2,,35.776467,128.721092,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
75,남천면 신석리 229-5,경상북도 경산시 남천면 산전길 8,,35.7834468,128.7212513,10,2011,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
76,용성면 당리리 206-21,경상북도 경산시 용성면 구룡로 7,,35.7932155,128.8771972,10,2011,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
77,용성면 고은리86-4,,경상북도 경산시 용성면 고은리 86-4,35.794599,128.8659142,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
78,경산시장 맞은편(베스킨라빈스),경상북도 경산시 중앙로 75-1,,35.823182,128.735209,5,2008,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
79,경산시외버스터미널,경상북도 경산시 경안로 196 경산시외버스정류장,,35.824958,128.737501,5,2008,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
80,경산농협 앞,경상북도 경산시 중앙로 86 경산농협,,35.823358,128.736388,10,2009,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
81,대구은행 앞,경상북도 경산시 중방동 경안로28길,,35.831926,128.737737,15,2009,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
82,중앙동주민센터 내,경상북도 경산시 경안로30길 한국농아인협회경산지부,,35.820001,128.740038,10,2008,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
83,삼북주공아파트 관리사무소 앞,경상북도 경산시 삼북동 경산로30길,,35.8179323,128.7413222,6,2008,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
84,삼북경로당 앞,경상북도 경산시 삼북동 경안로 135-2,,35.8197653,128.7377496,7,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
85,중앙경로당 앞,경상북도 경산시 중방동 원효로3길 28,,35.826294,128.7395395,7,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
86,초원아파트 주차장,경상북도 경산시 계양동 계양로,,35.829908,128.738137,10,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
87,중앙빌라 앞,경상북도 경산시 삼북동 경안로27길 12-5,,35.819783,128.736525,8,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
88,삼북주공아파트 옆,경상북도 경산시 삼북동 경산로30길,,35.8179323,128.7413222,6,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
89,삼북동 동아약국 앞,경상북도 경산시 경안로 123,,35.818537,128.738067,10,2010,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
90,오거리 현대자동차 앞,경상북도 경산시 경안로 157,,35.8216907,128.7374753,10,2010,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
91,경산캠퍼스정철어학원 앞,경상북도 경산시 대학로 305길 12,,35.913553,128.819697,7,2010,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
92,시장입구 궁전사진관 옆,경상북도 경산시 중앙로 76,,35.822905,128.735262,10,2010,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
93,한국전력 앞(880-17),경상북도 경산시 원효로 8 한국전력경산지점,,35.8235583,128.7386375,5,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
94,동부동주민센터 내,경상북도 경산시 원효로 34길 12 동부동주민센터,,35.819358,128.754212,10,2006,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
95,태왕드림하이츠 버스승강장,경상북도 경산시 원효로 13-7,,35.8225594,128.7529007,10,2004,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
96,경산실내체육관 동문,경상북도 경산시 남매로 100 경산생활체육공원,,35.8209967,128.7438406,15,2009,단독형,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
97,계양동 감초당사거리 GS25앞,경상북도 경산시 장산로 255,,35.8178728,128.7522055,10,2010,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
98,사동 경산우체국 옆,경상북도 경산시 백자로 130 경산우체국,,35.816358,128.759138,10,2010,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
99,서부1동주민센터 내,경상북도 경산시 경산로 135,,35.8205779,128.7278782,10,2008,거치형,N,Y,태양광식,N,053-810-6128,경상북도 경산시청,2020-12-07
100,경산로 44길2(옥산2지구 (구)한빛부동산) 앞,경상북도 경산시 경산로 2,,35.8269741,128.7256736,10,2009,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
101,옥산2지구근린공원지하주차장 입구,경상북도 경산시 경산로44길,,35.8273687,128.7273277,10,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
102,옥곡초등학교 앞,경상북도 경산시 경산로54,,35.8153519,128.732396,60,2011,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
103,경산역 광장,경상북도 경산시 중앙로 2길,,35.8192496,128.7277131,92,2012,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
104,국민건강보험공단 경산지사 앞,경상북도 경산시 중앙로 17 국민건강보험공단,,35.820551,128.729551,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
105,장산중학교,경상북도 경산시 경산로 112 장산중학교,,35.818925,128.730151,63,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
106,사정동 84-1(경산역 광장내),경상북도 경산시 중앙로2길 3,,35.8199085,128.7277265,20,2014,기타,Y,Y,태양광식,N,053-810-6128,경상북도 경산시청,2020-12-07
107,사정동 84-10(경산역 후문앞),경상북도 경산시 중앙로2길 3,,35.8197041,128.7272825,25,2014,기타,N,Y,태양광식,N,053-810-6128,경상북도 경산시청,2020-12-07
108,옥산동 848(서부1동 복지회관),경상북도 경산시 성암로5길 6,,35.8230371,128.7204816,10,2015,휀스형,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
109,중산동 녹지대 앞,경상북도 경산시 중산길,,35.831301,128.720701,20,2007,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
110,정평 우방1차상가 앞,경상북도 경산시 대학로 52,,35.833404,128.7300125,16,2013,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
111,정평 우방1차상가 버스승강장,경상북도 경산시 대학로 52,,35.8338276,128.729296,16,2013,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
112,정평 현대타운 상가,경상북도 경산시 대학로9길 11,,35.8355171,128.7284827,16,2013,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
113,정평 현대타운 입구,경상북도 경산시 대학로9길 11,,35.8350231,128.727615,6,2007,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
114,지하철정평역3번 출구,경상북도 경산시 대학로 52,,35.833825,128.7284446,20,2012,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
115,지하철정평역4번출구,경상북도 경산시 대학로 63,,35.834251,128.728639,20,2012,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
116,정평역 3번 출구 앞,경상북도 경산시 대학로 52,,35.833825,128.7284446,35,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
117,정평역 1번 출구 앞,경상북도 경산시 대학로 47,,35.8343903,128.7277364,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
118,정평역 4번 출구 앞,경상북도 경산시 대학로 63,,35.834251,128.728639,15,2013,휀스형,N,Y,태양광식,N,053-810-6128,경상북도 경산시청,2020-12-07
119,서상동 143-8번지 여성회관 앞,경상북도 경산시 서상길 77,,35.8187484,128.7340303,10,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
120,실내체육관 2직문,경상북도 경산시 남매로 113,,35.8212164,128.7438144,10,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
121,경산초등학교 옆,경상북도 경산시 경안로 84 경산초등학교,,35.8153038,128.7396148,15,2009,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
122,삼성현중학교 뒤 공원,경상북도 경산시 경청로216길 17 삼성현중학교,,35.8012354,128.7403176,30,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
123,백천동 파리바게뜨,경상북도 경산시 경청로22길 1 한실빌딩,,35.804086,128.738979,10,2009,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
124,백천동574-6 대구경북능금농협백천점 앞,경상북도 경산시 경청로 1103,,35.8036087,128.7386675,10,2010,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
125,삼남동114번지 삼남경로당 내,경상북도 경산시 경안로 17길 10,,35.8156958,128.7378494,5,2010,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
126,백천동 577-1동화리버빌 앞,경상북도 경산시 경청로 219길,,35.8030088,128.7369801,8,2010,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
127,신교동 73-1 남부동사무소,경상북도 경산시 경안로 68,,35.8136554,128.7391272,7,2010,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
128,서상동 10(경산시장공설시장 사무실 내),경상북도 경산시 경안로 31길,,35.8205218,128.7354816,5,2015,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
129,삼남동 42-3(회나무 공원),경상북도 경산시 경안로19길 2,,35.8112318,128.8268524,5,2015,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
130,경산네거리 반야월 방향,경상북도 경산시 대학로,,35.8340904,128.7346625,5,2002,휀스형,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
131,씨너스영화관 버스승강장1,경상북도 경산시 강변동로 278 조아 아울렛,,35.8344681,128.7333565,20,2005,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
132,씨너스영화관 버스승강장2,경상북도 경산시 강변동로 278 조아 아울렛,,35.8344681,128.7333565,20,2009,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
133,영남대복지관 앞,경상북도 경산시 대학로 280,,35.8310768,128.7530585,20,2004,휀스형,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
134,영남대복지관 맞은편,경상북도 경산시 대학로 280,,35.8310768,128.7530585,10,2009,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
135,영남대복지관 맞은편(추가),경상북도 경산시 대학로 280,,35.8310768,128.7530585,25,2010,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
136,"지하철영대역 1,2번 출구 앞",경상북도 경산시 대학로 279,,35.836398,128.7526538,14,2012,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
137,"지하철 영대역 3,4번 출구 앞",경상북도 경산시 대학로 292,,35.835975,128.753589,10,2012,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
138,"지하철 영대역 5,6번 출구 앞",경상북도 경산시 대학로 283,,35.8403849,128.7516545,10,2012,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
139,"지하철 영대역 7,8번 출구 앞",경상북도 경산시 대학로 285,,35.8403849,128.7516545,20,2012,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
140,조영동 310-2(구 경산소방서 맞은편),경상북도 경산시 대학로 231,,35.8387022,128.7560439,15,2015,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
141,계양동 61-4(북부동주민센터),경상북도 경산시 중방로 9-2,,35.833341,128.746563,10,2015,기타,Y,Y,태양광식,N,053-810-6128,경상북도 경산시청,2020-12-07
142,대동 174-1,경상북도 경산시 대학로 292,,35.8364334,128.7534967,10,2015,기타,N,Y,태양광식,N,053-810-6128,경상북도 경산시청,2020-12-07
143,중방동 주민센터 내,경상북도 경산시 중앙초등길 62 중방동주민센터,,35.827058,128.733925,9,2008,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
144,중방1동 마을회관,경상북도 경산시 중앙초동길 48-1,,35.825867,128.733475,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
145,수정약국 앞,경상북도 경산시 중앙로 67,,35.822861,128.734512,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
146,국민은행 앞,경상북도 경산시 경안로 205,,35.825867,128.736437,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
147,농협중앙회 중방점 앞,경상북도 경산시 원효로 17,,35.821183,128.731801,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
148,KT&G 앞,경상북도 경산시 중앙로 59 한국담배인삼공사,,35.822365,128.733463,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
